web-scraper-order,web-scraper-start-url,basecat-link,basecat-link-href,subcat-link,subcat-link-href,product-links,product-links-href,itemname,price,oldprice,savings,offer,supplier,cat2,cat3,cat4,cat5,cat6,cat7
"1595478002-633","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning?f[is_fbn]=1","Air Fresheners","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning/grocery-air-fresheners?f[is_fbn]=1","Glade Automatic Spray Refill - Elegant Amber & Oud… AED 25.00","https://www.noon.com/uae-en/automatic-spray-refill-elegant-amber-oud-175g/N27672854A/p?o=c4dfba6dfb57ec3e","Automatic Spray Refill - Elegant Amber & Oud 175g","25.00","null","null","null","Noon Grocery","Grocery","Home Care & Cleaning","Air Fresheners","null","null","null"
"1595479712-972","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods","Canned Food","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods/canned-and-jarred-food","Nutrizain Soya Chunks 240g Pack of 3 AED 10.95AED 1839% Off","https://www.noon.com/uae-en/soya-chunks-240g-pack-of-3/N37080472A/p?o=b8ef9d20371593ae","Soya Chunks 240g Pack of 3","10.95","18.00","7.05","39% Off","BAGASON GROUP","Grocery","Canned, Dry & Packaged Food","Canned & Jarred Food","Canned Vegetables","null","null"
"1595479307-868","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods","Spices & Seasonings","https://www.noon.com/uae-en/grocery-store/Herbs%20&%20Spices","INDIA MILLS Ajwain Seed 200g AED 5.75AED 717% Off","https://www.noon.com/uae-en/ajwain-seed-200g/N29600521A/p?o=b9f3eeecb1d2b74b","Ajwain Seed 200g","5.75","7.00","1.25","17% Off","BAGASON GROUP","Grocery","Herbs & Spices","Whole Spices","null","null","null"
"1595479795-995","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods","Pasta & Noodles","https://www.noon.com/uae-en/grocery-store/pasta-and-noodles","LITTLE PASTA ORGANIC Dinosaur Shaped Pasta… AED 18.00","https://www.noon.com/uae-en/dinosaur-shaped-pasta-250g/N36129198A/p?o=a7f924458562f35e","Dinosaur Shaped Pasta 250g","18.00","null","null","null","Spinneys Dubai LLC","Grocery","Pasta & Noodles","Pasta","Instant Pasta","null","null"
"1595477478-527","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/beauty-and-health/beauty/personal-care-16343?f[is_fbn]=1","","https://www.noon.com/uae-en/beauty-and-health/beauty/hair-care?f[is_fbn]=1","Sunhome Professional Hair Curler White AED 39.93AED 11464% Off","https://www.noon.com/uae-en/professional-hair-curler-white/N19753422A/p?o=db3e68e528b67fec","Professional Hair Curler White","39.93","114.00","74.07","64% Off","SuperStyle","Beauty & Health","Beauty & Fragrance","Hair Care","Styling Tools","Irons","Curling Irons"
"1595477105-417","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/beauty-and-health/beauty/personal-care-16343?f[is_fbn]=1","","https://www.noon.com/uae-en/beauty-and-health/beauty/personal-care-16343/oral-hygiene?f[is_fbn]=1","Euthymol Pack Of 6 Original Toothpaste 6 x 75ml AED 117.00","https://www.noon.com/uae-en/pack-of-6-original-toothpaste-6-x-75ml/N32719539A/p?o=af142400cca0b26c","Pack Of 6 Original Toothpaste 6 x 75ml","117.00","null","null","null","Cosmetics Campaign","Beauty & Health","Beauty & Fragrance","Personal Care","Oral Hygiene","Toothpaste","null"
"1595480831-1241","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/beverages-16314?f[is_fbn]=1","Coffee","https://www.noon.com/uae-en/grocery-store/beverages-16314/coffee","KIMBO Aroma Gold Arabica Ground Coffee 250g AED 26.50","https://www.noon.com/uae-en/aroma-gold-arabica-ground-coffee-250g/N25262335A/p?o=ffbd38321af01e0f","Aroma Gold Arabica Ground Coffee 250g","26.50","null","null","null","Union Coop","Grocery","Beverages","Coffee","Ground","null","null"
"1595475829-39","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/pet-supplies?f[is_fbn]=1","Pet Accessories","https://www.noon.com/uae-en/pets-accessories","QiaoKai I Love My Mommy Print Pet Vest Grey Small AED 10.00AED 2864% Off","https://www.noon.com/uae-en/i-love-my-mommy-print-pet-vest-grey-small/N16387141A/p?o=a589ac38f425cf7e","I Love My Mommy Print Pet Vest Grey Small","10.00","27.99","17.99","64% Off","cingo","Pet Supplies","Dogs","null","null","null","null"
"1595478259-704","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning?f[is_fbn]=1","Household Essentials","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning/household-cleaners?f[is_fbn]=1","CLOROX Trigger Spray Multipurpose Cleaner With… AED 16.25","https://www.noon.com/uae-en/trigger-spray-multipurpose-cleaner-with-bleach-750ml/N11376589A/p?o=d33a13f457afbabf","Trigger Spray Multipurpose Cleaner With Bleach 750ml","16.25","null","null","null","Noon Grocery","Home & Kitchen","Household Supplies","Household Cleaning","Bathroom Cleaners","null","null"
"1595479319-871","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods","Spices & Seasonings","https://www.noon.com/uae-en/grocery-store/Herbs%20&%20Spices","INDIA MILLS Black Salt Powder 200g AED 3.00","https://www.noon.com/uae-en/black-salt-powder-200g/N29600546A/p?o=d5a50232af26af4b","Black Salt Powder 200g","3.00","null","null","null","BAGASON GROUP","Grocery","Herbs & Spices","Powdered Spices","null","null","null"
"1595478824-759","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning?f[is_fbn]=1","Laundry Essentials","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning/grocery-laundry-care?f[is_fbn]=1","Tide Automatic Downy Freshness Laundry… AED 33.00AED 368% Off","https://www.noon.com/uae-en/automatic-downy-freshness-laundry-detergent-powder-3kg/N11376672A/p?o=aef96e927e072c5f","Automatic Downy Freshness Laundry Detergent Powder 3kg","33.00","36.00","3.00","8% Off","Noon Grocery","Grocery","Home Care & Cleaning","Laundry Care","Washing Powder","null","null"
"1595480619-1179","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/beverages-16314?f[is_fbn]=1","Water","https://www.noon.com/uae-en/grocery-store/beverages-16314/water-22803","Al Ain Drinking Water Bottles 200ml Pack of 20-Piece + 4… AED 10.50","https://www.noon.com/uae-en/drinking-water-bottles-200ml-pack-of-20-piece-4-free-piece/N13422113A/p?o=a3f7f50f08f71ecc","Drinking Water Bottles 200ml Pack of 20-Piece + 4 Free Piece","10.50","null","null","null","Union Coop","Grocery","Beverages","Water","Packaged Water","null","null"
