,code,name,image,price,department
440,1035762,Braun Digital Thermometer PRT2000,/lulucommercewebservices/v2/medias/1035762-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNTc4MXxpbWFnZS9qcGVnfGltYWdlcy9oMzkvaGE0LzkwODM5MzYyMTA5NzQuanBnfGMwZjJlNWQwNjEyODRmNTBkYmNmYzUxYzFiYzkzZDdkMDE0NGVmYjI1MmM0MDk2NTZkYWZlNGZiODVhNDg2MjU,59.0,ELECTRONICS
460,1470927,Beurer BP Monitor BM27 + Glucose Monitor GL50 + Strips 25 + Thermometer FT09,/lulucommercewebservices/v2/medias/1470927-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMzM2N3xpbWFnZS9qcGVnfGltYWdlcy9oMTAvaDJhLzkwNjgzMDg2Mjc0ODYuanBnfDY5M2IxMTlmZDIxNjVmMDIxNjgxN2EwNjhkZDI5NDVmODk5MWU3NTdiMzA4YjMyODA0YjljZTY3MTJmYTgzODk,299.0,ELECTRONICS
480,1669137,Smart Girls Get More 7 Days Gel 701 White 1pc,/lulucommercewebservices/v2/medias/1669137-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDg1N3xpbWFnZS9qcGVnfGltYWdlcy9oMTMvaDJiL2gwMC85MzU2MTU5MTIzNDg2LmpwZ3xlOTE1NTMxOTVlNWU0ZTcyMzgwMjg2ZjBmNGFjZjNjYTE5OWEwMjNiYjE2MzMzMGMwMmQ5ZGEzODJkM2FkNGY0,17.0,FASHION
500,1357528,Lifebuoy Anti Bacterial Hand Wash Total 10 500ml,/lulucommercewebservices/v2/medias/1357528-0001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMTUwNHxpbWFnZS9qcGVnfGltYWdlcy9oM2MvaGU5LzkwODkxMTUzODk5ODIuanBnfDNiMjgwYjQzM2ExMGJjYjUwNjFkZDZlNmEyNjI4YjQxNzU5ZDJjMzEyZGMwMTRmYTczOTJmYTJjOGIwMzg3ODg,25.6,GROCERY
520,1623194,Simply Gentle Organic Baby Safety Buds 200pcs,/lulucommercewebservices/v2/medias/1623194-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w1ODA0fGltYWdlL2pwZWd8aW1hZ2VzL2gwMS9oNDYvaDAwLzkzNzY0MjQxMzI2MzguanBnfGU3YjFmNjIwNTk4OWEzMzMwYjIzZWRhY2ZjMDdhZWMwYTVlZjlmNGY0ZGU1NjZjNjA4NDMzZGIzZDdhOGRhNmE,6.95,GROCERY
540,663888,General Mills Chex Mix Cheddar Snack 248g,/lulucommercewebservices/v2/medias/663888-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNzg1NXxpbWFnZS9qcGVnfGltYWdlcy9oZWYvaDE0LzkwNzEwNzY4MzUzNTguanBnfDRjNTAxNjQ0MTMxOGY1ZjMwZThiYTYxMzQ5NjliOWIzMjY3OGUwODk1MWEwZTA2ZmY5YzQ0Nzc4ZDgwODZjNDE,16.5,GROCERY
560,773845,Body Fantasies Strawberry Fragrance Body Spray 236ml,/lulucommercewebservices/v2/medias/773845-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w4MDUxfGltYWdlL2pwZWd8aW1hZ2VzL2g3My9oYTcvOTExNTgxMTY0MzQyMi5qcGd8NTNmNjExNGI1YTlkYjg1NzA3YzBlYTgwNTg0NTYyNWU2M2YwZTQ5NmI2OWQwYzkzMjliMDk4Nzc0NjEwNDY4OQ,28.5,GROCERY
580,676074,General Mills Wheat Chex 396g,/lulucommercewebservices/v2/medias/676074-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzNzA1M3xpbWFnZS9qcGVnfGltYWdlcy9oOGUvaGJjL2gwMC85MjU4NjA4NTkwODc4LmpwZ3w4OWRlNTAyNjQ1Yjk3NzhhNTRjZDIwYzQ2NjUyMjUwMGVhNmQ0YzBmNWZlNDAxYjc5ZjY1NWM0YzVhMTc2NzBm,23.95,GROCERY
600,8600,Yves Saint Laurent Opium EDT For Men 100ml,/lulucommercewebservices/v2/medias/8600-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjA5MXxpbWFnZS9qcGVnfGltYWdlcy9oMGEvaGRmL2gwMC85MzQ5OTY3NDEzMjc4LmpwZ3xjYWUyMTk5ZTgyOGU1OGUzNjRhNDY0M2I0MzAwZmM3MzBhNTI4N2E0NmJhNGI1MGFmYjEzOGVhOTg4Y2JkMmQ4,215.0,FASHION
620,1670346,Smart Girls Get More Brow Shadows 01 Medium 1pc,/lulucommercewebservices/v2/medias/1670346-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNTE5NHxpbWFnZS9qcGVnfGltYWdlcy9oOTgvaGRlL2gwMC85MzU2MDY0MTYxODIyLmpwZ3xmNDJkOTNkNzVkNjQ0NzdkNTM5NDczOTAwMjFjZDRjNDY4N2IzMDdkMTcxYjUyZDNhMDkyNzg5Y2Y0NWQyMDZm,25.0,FASHION
640,1654078,Dove Nourishing Secrets Indulging Ritual Body Lotion 400ml,/lulucommercewebservices/v2/medias/1654078-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w0MjI5fGltYWdlL2pwZWd8aW1hZ2VzL2g2Ni9oYzEvaDAwLzkzNzY0MjUzNzc4MjIuanBnfDNkZWIzZmMzYmZkNWNjY2JjZWExODBjZDI5MWJlMGI3ZmNlOWMwNGZiOWVlMGFmMjRjZTg5OThkODlkMWY5NmY,28.75,GROCERY
660,1179276,Ferrari Scuderia Black EDT For Men 125ml + Deodorant 150ml + Hair And Body Wash 150ml Gift set,/lulucommercewebservices/v2/medias/1179276-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNjkzfGltYWdlL2pwZWd8aW1hZ2VzL2gxMi9oMGMvaDAwLzkyNDI5NDkzMjA3MzQuanBnfDEyYTllN2MyMTExMjUyMjRiZTEyNWU4MWFiOTgwYmJmZTFlZTUyYmIyNDE2ZTQ2OGRjMmM3ZmJjNDg4MGMxYTM,165.0,FASHION
680,567500,Bic Body Disposable Razor 3pcs,/lulucommercewebservices/v2/medias/567500-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyOTAwN3xpbWFnZS9qcGVnfGltYWdlcy9oN2QvaDkwL2gwMC85MTk3NDM3NzE0NDYyLmpwZ3xlMGY2YmQ5YzRmMmRkNWYwNWQxMWJiZTY0YzVmNjBhNjA1OTQ5NGJlNThkNGFjYzEzMTMxZTAyNmJlMjQ4ZDVj,3.7,GROCERY
